# Wavenumber	Transmittence
3103.00	0.700580
3008.00	0.265720
3018.00	0.333940
3038.00	0.230000
3003.00	0.230340
3088.00	0.523160
3108.00	0.719040
3123.00	0.755640
3128.00	0.763820
3133.00	0.770080
3028.00	0.343620
3043.00	0.173000
3023.00	0.346560
3078.00	0.405460
2973.00	0.006600
2963.00	0.000000
2998.00	0.194180
3098.00	0.682720
3083.00	0.464320
3058.00	0.043120
3048.00	0.116000
2988.00	0.017660
3138.00	0.776260
2983.00	0.017060
2968.00	0.000840
3053.00	0.069360
3013.00	0.301140
3093.00	0.627860
3073.00	0.099560
2978.00	0.013160
3063.00	0.019160
3113.00	0.733960
3068.00	0.013240
3143.00	0.781380
2993.00	0.051460
3033.00	0.286940
3118.00	0.746340
