# Wavenumber,Transmittence
3028.00,0.343620
2953.00,0.000000
2918.00,0.000000
2908.00,0.000000
3033.00,0.286940
2948.00,0.000000
2943.00,0.000000
3013.00,0.301140
3043.00,0.173000
2928.00,0.000000
2938.00,0.000000
2998.00,0.194180
2963.00,0.000000
2978.00,0.013160
3023.00,0.346560
2993.00,0.051460
3008.00,0.265720
3038.00,0.230000
2983.00,0.017060
3018.00,0.333940
2988.00,0.017660
2913.00,0.000000
2933.00,0.000000
2973.00,0.006600
2958.00,0.000000
2968.00,0.000840
3003.00,0.230340
2903.00,0.000000
2923.00,0.000000
