# Wavenumber Transmittence
3363.00 0.922500
3448.00 0.930160
3443.00 0.929040
3388.00 0.925860
3383.00 0.925020
3348.00 0.920800
3418.00 0.925060
3368.00 0.923000
3398.00 0.926720
3353.00 0.921340
3433.00 0.926900
3453.00 0.931280
3423.00 0.924900
3428.00 0.925820
3458.00 0.932060
3318.00 0.922180
3378.00 0.924160
3373.00 0.923500
3308.00 0.924260
3328.00 0.920380
3393.00 0.926660
3403.00 0.926380
3413.00 0.925500
3313.00 0.923400
3343.00 0.920200
3333.00 0.920120
3358.00 0.921920
3338.00 0.919920
3323.00 0.920920
3438.00 0.927960
3408.00 0.926000
