# Wavenumber,Transmittence
1003.00,0.175940
933.00,0.378700
928.00,0.292200
938.00,0.454160
1088.00,0.716240
1028.00,0.577260
978.00,0.050020
983.00,0.013940
1038.00,0.575360
1018.00,0.512160
988.00,0.005060
1043.00,0.556240
1058.00,0.587800
958.00,0.401440
1073.00,0.636020
993.00,0.009320
953.00,0.488880
963.00,0.312000
1023.00,0.567580
1008.00,0.306100
1053.00,0.556440
1033.00,0.577640
948.00,0.519780
943.00,0.503620
973.00,0.133100
1048.00,0.531900
968.00,0.222560
998.00,0.068820
1013.00,0.442080
1078.00,0.648980
1083.00,0.672640
1063.00,0.618180
1068.00,0.630240
