# Wavenumber,Transmittence
1378.00,0.265000
1323.00,0.586300
1298.00,0.497280
1363.00,0.366740
1343.00,0.440060
1263.00,0.585940
1313.00,0.579980
1353.00,0.469620
1268.00,0.603100
1293.00,0.487600
1358.00,0.439920
1333.00,0.488520
1288.00,0.507500
1248.00,0.699680
1308.00,0.586120
1273.00,0.638200
1373.00,0.080600
1348.00,0.451640
1253.00,0.672620
1368.00,0.236680
1283.00,0.564080
1328.00,0.562720
1258.00,0.627020
1303.00,0.548680
1233.00,0.777460
1338.00,0.440960
1238.00,0.764300
1318.00,0.579540
1278.00,0.623640
1243.00,0.732320
