# Wavenumber	Transmittence
3353.00	0.921340
3258.00	0.899220
3328.00	0.920380
3323.00	0.920920
3278.00	0.921440
3268.00	0.910820
3398.00	0.926720
3298.00	0.924920
3343.00	0.920200
3273.00	0.918280
3363.00	0.922500
3303.00	0.924900
3233.00	0.899580
3378.00	0.924160
3228.00	0.895180
3368.00	0.923000
3348.00	0.920800
3338.00	0.919920
3318.00	0.922180
3373.00	0.923500
3263.00	0.902140
3288.00	0.924060
3313.00	0.923400
3358.00	0.921920
3248.00	0.901860
3283.00	0.923060
3333.00	0.920120
3253.00	0.900520
3388.00	0.925860
3238.00	0.901400
3393.00	0.926660
3243.00	0.901860
3308.00	0.924260
3383.00	0.925020
3293.00	0.924660
