# Wavenumber Transmittence
3398.00 0.926720
3378.00 0.924160
3373.00 0.923500
3408.00 0.926000
3283.00 0.923060
3358.00 0.921920
3433.00 0.926900
3288.00 0.924060
3428.00 0.925820
3353.00 0.921340
3383.00 0.925020
3343.00 0.920200
3363.00 0.922500
3388.00 0.925860
3403.00 0.926380
3303.00 0.924900
3278.00 0.921440
3368.00 0.923000
3333.00 0.920120
3393.00 0.926660
3298.00 0.924920
3308.00 0.924260
3348.00 0.920800
3338.00 0.919920
3423.00 0.924900
3293.00 0.924660
3318.00 0.922180
3413.00 0.925500
3268.00 0.910820
3438.00 0.927960
3323.00 0.920920
3328.00 0.920380
3443.00 0.929040
3273.00 0.918280
3313.00 0.923400
3418.00 0.925060
