# Wavenumber Transmittence
3533.00 0.935100
3498.00 0.932520
3628.00 0.910420
3573.00 0.935020
3588.00 0.925720
3658.00 0.913180
3618.00 0.907220
3668.00 0.912680
3598.00 0.917520
3518.00 0.933800
3613.00 0.907420
3623.00 0.907840
3663.00 0.912920
3648.00 0.909420
3538.00 0.935560
3688.00 0.908480
3583.00 0.929280
3653.00 0.912660
3548.00 0.937060
3678.00 0.911820
3513.00 0.933420
3543.00 0.936060
3683.00 0.910140
3608.00 0.910100
3523.00 0.934200
3563.00 0.937400
3503.00 0.932820
3553.00 0.938140
3568.00 0.936400
3638.00 0.910500
3593.00 0.921600
3673.00 0.912480
3558.00 0.938460
3643.00 0.909000
3633.00 0.911860
3528.00 0.934700
3508.00 0.933120
3603.00 0.913620
3578.00 0.932220
