# Wavenumber Transmittence
1593.00 0.815120
1513.00 0.723260
1653.00 0.709540
1663.00 0.778260
1588.00 0.828740
1548.00 0.762360
1648.00 0.442200
1538.00 0.743080
1633.00 0.014460
1543.00 0.751360
1643.00 0.252280
1568.00 0.829900
1623.00 0.372080
1598.00 0.793320
1518.00 0.732660
1553.00 0.772280
1668.00 0.808000
1583.00 0.833940
1638.00 0.038180
1628.00 0.141000
1618.00 0.589860
1523.00 0.746160
1533.00 0.739980
1658.00 0.750560
1573.00 0.835000
1558.00 0.790680
1528.00 0.743420
1563.00 0.814220
1608.00 0.660640
1613.00 0.634280
1603.00 0.714200
1578.00 0.835840
