# Wavenumber	Transmittence
983.00	0.013940
973.00	0.133100
998.00	0.068820
1098.00	0.662220
1033.00	0.577640
1043.00	0.556240
1003.00	0.175940
993.00	0.009320
1078.00	0.648980
1118.00	0.662200
1013.00	0.442080
1058.00	0.587800
1088.00	0.716240
1028.00	0.577260
1053.00	0.556440
1123.00	0.705980
1008.00	0.306100
988.00	0.005060
1068.00	0.630240
978.00	0.050020
1073.00	0.636020
953.00	0.488880
1038.00	0.575360
1063.00	0.618180
1018.00	0.512160
1023.00	0.567580
1113.00	0.605700
958.00	0.401440
1103.00	0.594500
1093.00	0.716120
1048.00	0.531900
968.00	0.222560
1083.00	0.672640
963.00	0.312000
1108.00	0.561260
