# Wavenumber Transmittence
2063.00 0.921600
1963.00 0.878940
2143.00 0.919200
2068.00 0.922760
1983.00 0.875900
2083.00 0.922820
2148.00 0.916820
1968.00 0.860600
2093.00 0.927340
2108.00 0.927700
2018.00 0.911180
1978.00 0.866360
2038.00 0.906980
1973.00 0.857800
2138.00 0.921660
2048.00 0.912360
2073.00 0.922780
2023.00 0.906180
2008.00 0.917460
2098.00 0.927620
1993.00 0.909320
2103.00 0.927700
1933.00 0.936200
1998.00 0.915720
2128.00 0.925460
2158.00 0.913580
1923.00 0.927740
1938.00 0.935920
1928.00 0.931500
1948.00 0.928500
2078.00 0.922700
2163.00 0.912500
2153.00 0.915100
1958.00 0.901060
2013.00 0.914840
2113.00 0.927600
2118.00 0.927280
2043.00 0.909340
2058.00 0.919000
2123.00 0.926480
1953.00 0.919660
2033.00 0.905620
2168.00 0.911500
2053.00 0.915580
2028.00 0.905180
2088.00 0.925120
2003.00 0.918560
1988.00 0.891940
1943.00 0.933580
2133.00 0.923900
