# Wavenumber Transmittence
3078.00 0.405460
3113.00 0.733960
3118.00 0.746340
3128.00 0.763820
3043.00 0.173000
3148.00 0.785800
3098.00 0.682720
3093.00 0.627860
3003.00 0.230340
3153.00 0.790220
3028.00 0.343620
3173.00 0.806300
3048.00 0.116000
3088.00 0.523160
3143.00 0.781380
3073.00 0.099560
3013.00 0.301140
3008.00 0.265720
3163.00 0.798300
3023.00 0.346560
3138.00 0.776260
3103.00 0.700580
3158.00 0.794300
3108.00 0.719040
3133.00 0.770080
3123.00 0.755640
3033.00 0.286940
3053.00 0.069360
3018.00 0.333940
3068.00 0.013240
3178.00 0.811160
3058.00 0.043120
3168.00 0.802300
3063.00 0.019160
3038.00 0.230000
3083.00 0.464320
