# Wavenumber,Transmittence
3918.00,0.884200
3903.00,0.885980
3858.00,0.892060
3788.00,0.905680
3778.00,0.904600
3833.00,0.899680
3888.00,0.887960
3913.00,0.884780
3813.00,0.904820
3783.00,0.904540
3838.00,0.898300
3768.00,0.904600
3828.00,0.900520
3773.00,0.904620
3843.00,0.896780
3908.00,0.885360
3818.00,0.902660
3873.00,0.889920
3863.00,0.891220
3798.00,0.910080
3848.00,0.894440
3793.00,0.908480
3803.00,0.909420
3868.00,0.890560
3883.00,0.888620
3898.00,0.886620
3893.00,0.887280
3808.00,0.907400
3853.00,0.892940
3823.00,0.901640
3878.00,0.889260
