# Wavenumber Transmittence
1743.00 0.912520
1753.00 0.914400
1838.00 0.845420
1723.00 0.895780
1818.00 0.456060
1853.00 0.904820
1738.00 0.909520
1813.00 0.409300
1833.00 0.799260
1718.00 0.891240
1848.00 0.892980
1843.00 0.875260
1803.00 0.619460
1733.00 0.903820
1828.00 0.731060
1823.00 0.628660
1768.00 0.917640
1868.00 0.914840
1788.00 0.887320
1728.00 0.900280
1773.00 0.914020
1798.00 0.783180
1748.00 0.912740
1783.00 0.899780
1758.00 0.917680
1713.00 0.885600
1778.00 0.906720
1863.00 0.915320
1808.00 0.460740
1763.00 0.918620
1858.00 0.915280
1793.00 0.863300
