# Wavenumber,Transmittence
3048.00,0.116000
3033.00,0.286940
2878.00,0.000000
2938.00,0.000000
2918.00,0.000000
2928.00,0.000000
2958.00,0.000000
2903.00,0.000000
2933.00,0.000000
3078.00,0.405460
2998.00,0.194180
3023.00,0.346560
2953.00,0.000000
3063.00,0.019160
2978.00,0.013160
3068.00,0.013240
2963.00,0.000000
2968.00,0.000840
3008.00,0.265720
2898.00,0.000000
3043.00,0.173000
3038.00,0.230000
2948.00,0.000000
2973.00,0.006600
2913.00,0.000000
3058.00,0.043120
3013.00,0.301140
2888.00,0.000000
3073.00,0.099560
2868.00,0.000000
3028.00,0.343620
2943.00,0.000000
2988.00,0.017660
2993.00,0.051460
3003.00,0.230340
3083.00,0.464320
2983.00,0.017060
3018.00,0.333940
3088.00,0.523160
2923.00,0.000000
2893.00,0.000000
2883.00,0.000000
2908.00,0.000000
2873.00,0.000000
3053.00,0.069360
