# Wavenumber Transmittence
1793.00 0.863300
1743.00 0.912520
1788.00 0.887320
1833.00 0.799260
1803.00 0.619460
1843.00 0.875260
1808.00 0.460740
1798.00 0.783180
1828.00 0.731060
1838.00 0.845420
1733.00 0.903820
1773.00 0.914020
1783.00 0.899780
1818.00 0.456060
1723.00 0.895780
1693.00 0.839140
1728.00 0.900280
1738.00 0.909520
1758.00 0.917680
1688.00 0.847560
1698.00 0.847680
1713.00 0.885600
1768.00 0.917640
1778.00 0.906720
1853.00 0.904820
1753.00 0.914400
1823.00 0.628660
1708.00 0.882440
1683.00 0.845840
1748.00 0.912740
1813.00 0.409300
1718.00 0.891240
1848.00 0.892980
1703.00 0.873360
1763.00 0.918620
