# Wavenumber,Transmittence
3128.00,0.763820
3203.00,0.861000
3148.00,0.785800
3088.00,0.523160
3093.00,0.627860
3153.00,0.790220
3198.00,0.851660
3108.00,0.719040
3193.00,0.842300
3208.00,0.869780
3233.00,0.899580
3083.00,0.464320
3238.00,0.901400
3218.00,0.883900
3103.00,0.700580
3138.00,0.776260
3228.00,0.895180
3178.00,0.811160
3213.00,0.877380
3183.00,0.817680
3143.00,0.781380
3078.00,0.405460
3118.00,0.746340
3168.00,0.802300
3188.00,0.829000
3163.00,0.798300
3098.00,0.682720
3173.00,0.806300
3223.00,0.889800
3158.00,0.794300
3113.00,0.733960
3123.00,0.755640
3133.00,0.770080
