# Wavenumber	Transmittence
3503.00	0.932820
3583.00	0.929280
3453.00	0.931280
3528.00	0.934700
3593.00	0.921600
3443.00	0.929040
3548.00	0.937060
3543.00	0.936060
3488.00	0.931960
3603.00	0.913620
3573.00	0.935020
3448.00	0.930160
3523.00	0.934200
3428.00	0.925820
3508.00	0.933120
3538.00	0.935560
3518.00	0.933800
3553.00	0.938140
3493.00	0.932220
3478.00	0.931900
3463.00	0.932000
3588.00	0.925720
3563.00	0.937400
3438.00	0.927960
3473.00	0.931980
3558.00	0.938460
3598.00	0.917520
3468.00	0.932000
3618.00	0.907220
3498.00	0.932520
3533.00	0.935100
3433.00	0.926900
3613.00	0.907420
3578.00	0.932220
3568.00	0.936400
3483.00	0.931900
3608.00	0.910100
3513.00	0.933420
3458.00	0.932060
