# Wavenumber,Transmittence
2338.00,0.887380
2308.00,0.899820
2418.00,0.903880
2428.00,0.903460
2273.00,0.893020
2358.00,0.887740
2293.00,0.896120
2398.00,0.910280
2313.00,0.898400
2298.00,0.897380
2353.00,0.887220
2378.00,0.899380
2368.00,0.891440
2403.00,0.908920
2388.00,0.909000
2443.00,0.908580
2383.00,0.904940
2303.00,0.898800
2328.00,0.889860
2343.00,0.886860
2413.00,0.905240
2333.00,0.888080
2288.00,0.895020
2268.00,0.892720
2393.00,0.910800
2408.00,0.907160
2438.00,0.906560
2423.00,0.903180
2448.00,0.910380
2283.00,0.894180
2323.00,0.892460
2433.00,0.904540
2453.00,0.912080
2278.00,0.893420
2363.00,0.889240
2348.00,0.886980
2373.00,0.895280
2318.00,0.895560
