# Wavenumber Transmittence
1623.00 0.372080
1633.00 0.014460
1663.00 0.778260
1628.00 0.141000
1573.00 0.835000
1563.00 0.814220
1603.00 0.714200
1718.00 0.891240
1713.00 0.885600
1683.00 0.845840
1618.00 0.589860
1578.00 0.835840
1703.00 0.873360
1568.00 0.829900
1678.00 0.837220
1708.00 0.882440
1598.00 0.793320
1658.00 0.750560
1653.00 0.709540
1588.00 0.828740
1643.00 0.252280
1638.00 0.038180
1608.00 0.660640
1688.00 0.847560
1668.00 0.808000
1673.00 0.824660
1593.00 0.815120
1698.00 0.847680
1583.00 0.833940
1648.00 0.442200
1613.00 0.634280
1693.00 0.839140
