# Wavenumber Transmittence
2243.00 0.906420
2273.00 0.893020
2353.00 0.887220
2363.00 0.889240
2388.00 0.909000
2393.00 0.910800
2288.00 0.895020
2373.00 0.895280
2298.00 0.897380
2368.00 0.891440
2358.00 0.887740
2378.00 0.899380
2248.00 0.903160
2413.00 0.905240
2313.00 0.898400
2283.00 0.894180
2328.00 0.889860
2308.00 0.899820
2278.00 0.893420
2343.00 0.886860
2258.00 0.895420
2253.00 0.899620
2338.00 0.887380
2238.00 0.909660
2408.00 0.907160
2418.00 0.903880
2303.00 0.898800
2403.00 0.908920
2318.00 0.895560
2348.00 0.886980
2383.00 0.904940
2333.00 0.888080
2263.00 0.893440
2323.00 0.892460
2398.00 0.910280
2268.00 0.892720
2293.00 0.896120
