# Wavenumber Transmittence
2068.00 0.922760
2093.00 0.927340
1933.00 0.936200
2153.00 0.915100
1988.00 0.891940
1948.00 0.928500
2008.00 0.917460
2118.00 0.927280
1973.00 0.857800
2073.00 0.922780
2108.00 0.927700
2018.00 0.911180
2033.00 0.905620
2063.00 0.921600
1928.00 0.931500
1978.00 0.866360
1953.00 0.919660
2023.00 0.906180
2098.00 0.927620
1983.00 0.875900
2078.00 0.922700
2143.00 0.919200
2038.00 0.906980
2048.00 0.912360
2043.00 0.909340
2148.00 0.916820
2088.00 0.925120
2003.00 0.918560
2128.00 0.925460
1993.00 0.909320
2058.00 0.919000
2113.00 0.927600
1943.00 0.933580
2123.00 0.926480
1968.00 0.860600
1998.00 0.915720
2163.00 0.912500
2083.00 0.922820
2053.00 0.915580
1958.00 0.901060
2013.00 0.914840
1963.00 0.878940
1938.00 0.935920
2103.00 0.927700
2158.00 0.913580
2028.00 0.905180
2138.00 0.921660
2133.00 0.923900
