# Wavenumber	Transmittence
1503.00	0.690140
1688.00	0.847560
1568.00	0.829900
1528.00	0.743420
1663.00	0.778260
1658.00	0.750560
1653.00	0.709540
1718.00	0.891240
1533.00	0.739980
1678.00	0.837220
1648.00	0.442200
1673.00	0.824660
1563.00	0.814220
1618.00	0.589860
1553.00	0.772280
1613.00	0.634280
1603.00	0.714200
1513.00	0.723260
1643.00	0.252280
1578.00	0.835840
1588.00	0.828740
1668.00	0.808000
1638.00	0.038180
1698.00	0.847680
1523.00	0.746160
1598.00	0.793320
1683.00	0.845840
1498.00	0.664140
1518.00	0.732660
1608.00	0.660640
1708.00	0.882440
1558.00	0.790680
1693.00	0.839140
1593.00	0.815120
1573.00	0.835000
1543.00	0.751360
1633.00	0.014460
1703.00	0.873360
1628.00	0.141000
1538.00	0.743080
1548.00	0.762360
1508.00	0.708780
1623.00	0.372080
1713.00	0.885600
1583.00	0.833940
