# Wavenumber Transmittence
3493.00 0.932220
3438.00 0.927960
3543.00 0.936060
3548.00 0.937060
3573.00 0.935020
3483.00 0.931900
3413.00 0.925500
3498.00 0.932520
3533.00 0.935100
3428.00 0.925820
3518.00 0.933800
3463.00 0.932000
3503.00 0.932820
3458.00 0.932060
3523.00 0.934200
3553.00 0.938140
3418.00 0.925060
3448.00 0.930160
3478.00 0.931900
3433.00 0.926900
3408.00 0.926000
3468.00 0.932000
3558.00 0.938460
3563.00 0.937400
3568.00 0.936400
3423.00 0.924900
3453.00 0.931280
3508.00 0.933120
3488.00 0.931960
3513.00 0.933420
3443.00 0.929040
3538.00 0.935560
3473.00 0.931980
3528.00 0.934700
