# Wavenumber Transmittence
3283.00 0.923060
3353.00 0.921340
3233.00 0.899580
3358.00 0.921920
3263.00 0.902140
3333.00 0.920120
3268.00 0.910820
3273.00 0.918280
3318.00 0.922180
3228.00 0.895180
3218.00 0.883900
3193.00 0.842300
3248.00 0.901860
3313.00 0.923400
3338.00 0.919920
3308.00 0.924260
3408.00 0.926000
3253.00 0.900520
3278.00 0.921440
3243.00 0.901860
3208.00 0.869780
3393.00 0.926660
3223.00 0.889800
3378.00 0.924160
3293.00 0.924660
3403.00 0.926380
3348.00 0.920800
3288.00 0.924060
3398.00 0.926720
3203.00 0.861000
3328.00 0.920380
3373.00 0.923500
3238.00 0.901400
3323.00 0.920920
3368.00 0.923000
3298.00 0.924920
3363.00 0.922500
3343.00 0.920200
3383.00 0.925020
3258.00 0.899220
3198.00 0.851660
3303.00 0.924900
3213.00 0.877380
3388.00 0.925860
