# Wavenumber Transmittence
1443.00 0.012640
1433.00 0.019100
1513.00 0.723260
1523.00 0.746160
1563.00 0.814220
1453.00 0.000200
1438.00 0.016860
1588.00 0.828740
1403.00 0.295640
1413.00 0.200640
1428.00 0.047040
1393.00 0.505780
1488.00 0.588360
1533.00 0.739980
1593.00 0.815120
1493.00 0.626360
1598.00 0.793320
1568.00 0.829900
1583.00 0.833940
1548.00 0.762360
1618.00 0.589860
1508.00 0.708780
1498.00 0.664140
1388.00 0.508960
1408.00 0.165780
1383.00 0.464820
1503.00 0.690140
1473.00 0.267720
1378.00 0.265000
1538.00 0.743080
1418.00 0.199220
1558.00 0.790680
1423.00 0.112960
1553.00 0.772280
1458.00 0.000080
1608.00 0.660640
1543.00 0.751360
1578.00 0.835840
1573.00 0.835000
1478.00 0.435360
1603.00 0.714200
1528.00 0.743420
1483.00 0.527500
1613.00 0.634280
1463.00 0.000100
1468.00 0.087700
1448.00 0.005400
1518.00 0.732660
1398.00 0.439500
