# Wavenumber Transmittence
1558.00 0.790680
1578.00 0.835840
1708.00 0.882440
1528.00 0.743420
1513.00 0.723260
1543.00 0.751360
1563.00 0.814220
1643.00 0.252280
1583.00 0.833940
1523.00 0.746160
1628.00 0.141000
1533.00 0.739980
1593.00 0.815120
1633.00 0.014460
1618.00 0.589860
1648.00 0.442200
1698.00 0.847680
1588.00 0.828740
1658.00 0.750560
1603.00 0.714200
1668.00 0.808000
1663.00 0.778260
1538.00 0.743080
1683.00 0.845840
1623.00 0.372080
1608.00 0.660640
1598.00 0.793320
1713.00 0.885600
1693.00 0.839140
1573.00 0.835000
1688.00 0.847560
1638.00 0.038180
1678.00 0.837220
1568.00 0.829900
1653.00 0.709540
1553.00 0.772280
1548.00 0.762360
1613.00 0.634280
1673.00 0.824660
1518.00 0.732660
1703.00 0.873360
