# Wavenumber,Transmittence
1208.00,0.733820
1183.00,0.748240
1123.00,0.705980
1223.00,0.729260
1298.00,0.497280
1278.00,0.623640
1313.00,0.579980
1148.00,0.728900
1133.00,0.672480
1143.00,0.690740
1203.00,0.731200
1303.00,0.548680
1198.00,0.737460
1288.00,0.507500
1138.00,0.672820
1258.00,0.627020
1238.00,0.764300
1178.00,0.773920
1228.00,0.770480
1193.00,0.729540
1253.00,0.672620
1168.00,0.795920
1263.00,0.585940
1153.00,0.750840
1273.00,0.638200
1308.00,0.586120
1218.00,0.708200
1248.00,0.699680
1128.00,0.698740
1213.00,0.736500
1173.00,0.793660
1268.00,0.603100
1233.00,0.777460
1188.00,0.729740
1293.00,0.487600
1158.00,0.764820
1283.00,0.564080
1163.00,0.782640
1243.00,0.732320
