# Wavenumber,Transmittence
3763.00,0.904540
3733.00,0.897780
3808.00,0.907400
3778.00,0.904600
3798.00,0.910080
3838.00,0.898300
3823.00,0.901640
3748.00,0.903880
3753.00,0.904180
3793.00,0.908480
3698.00,0.908800
3738.00,0.897360
3803.00,0.909420
3713.00,0.913640
3703.00,0.910520
3773.00,0.904620
3828.00,0.900520
3758.00,0.904380
3768.00,0.904600
3718.00,0.913340
3833.00,0.899680
3743.00,0.902380
3818.00,0.902660
3783.00,0.904540
3858.00,0.892060
3813.00,0.904820
3853.00,0.892940
3723.00,0.910440
3848.00,0.894440
3843.00,0.896780
3708.00,0.912760
3728.00,0.904760
3693.00,0.907880
3788.00,0.905680
