# Wavenumber Transmittence
3471.00 0.876800
3621.00 0.875380
3451.00 0.875920
3571.00 0.876880
3556.00 0.877380
3516.00 0.877520
3481.00 0.876980
3496.00 0.877300
3536.00 0.877600
3541.00 0.877600
3581.00 0.876580
3446.00 0.875680
3566.00 0.877060
3531.00 0.877600
3576.00 0.876760
3611.00 0.875640
3616.00 0.875520
3461.00 0.876420
3486.00 0.877100
3511.00 0.877500
3561.00 0.877220
3441.00 0.875420
3606.00 0.875820
3591.00 0.876240
3546.00 0.877600
3551.00 0.877540
3506.00 0.877040
3501.00 0.877380
3586.00 0.876420
3596.00 0.876080
3521.00 0.877600
3456.00 0.876180
3491.00 0.877180
3436.00 0.875180
3526.00 0.877600
3466.00 0.876680
3601.00 0.875940
3476.00 0.876900
