# Wavenumber,Transmittence
2066.00,0.840680
1886.00,0.829440
1956.00,0.817040
2041.00,0.839060
2006.00,0.838880
1876.00,0.818080
2076.00,0.841180
1896.00,0.832440
1871.00,0.815620
1941.00,0.807640
1996.00,0.838120
2056.00,0.840080
2046.00,0.839360
1986.00,0.837880
1906.00,0.831060
2061.00,0.840420
2016.00,0.839280
1891.00,0.831520
2021.00,0.839400
1931.00,0.813960
1921.00,0.825440
2011.00,0.839080
2036.00,0.839220
1976.00,0.838940
2031.00,0.839380
1911.00,0.829860
1901.00,0.831680
1946.00,0.803140
1936.00,0.811720
1961.00,0.823860
1991.00,0.837800
1981.00,0.838560
2026.00,0.839400
1881.00,0.823780
1916.00,0.828160
2081.00,0.841420
2001.00,0.838620
1951.00,0.809120
1966.00,0.828340
2051.00,0.839740
1971.00,0.834500
2071.00,0.840920
1926.00,0.819500
