# Wavenumber	Transmittence
1931.00	0.813960
1766.00	0.826480
1786.00	0.813120
1811.00	0.815480
1806.00	0.811380
1756.00	0.831040
1871.00	0.815620
1856.00	0.809720
1876.00	0.818080
1821.00	0.827380
1751.00	0.831840
1861.00	0.804300
1886.00	0.829440
1911.00	0.829860
1816.00	0.821880
1841.00	0.821140
1896.00	0.832440
1946.00	0.803140
1801.00	0.807560
1836.00	0.825160
1936.00	0.811720
1851.00	0.815420
1921.00	0.825440
1891.00	0.831520
1791.00	0.809540
1796.00	0.807000
1846.00	0.816020
1761.00	0.828860
1951.00	0.809120
1746.00	0.831500
1831.00	0.827600
1776.00	0.820540
1901.00	0.831680
1926.00	0.819500
1771.00	0.824000
1941.00	0.807640
1881.00	0.823780
1866.00	0.810300
1781.00	0.816860
1916.00	0.828160
1906.00	0.831060
1826.00	0.828800
