# Wavenumber,Transmittence
2011.00,0.839080
1966.00,0.828340
1876.00,0.818080
1881.00,0.823780
1946.00,0.803140
2006.00,0.838880
1941.00,0.807640
1926.00,0.819500
2001.00,0.838620
1951.00,0.809120
1976.00,0.838940
1996.00,0.838120
1901.00,0.831680
1986.00,0.837880
1896.00,0.832440
2021.00,0.839400
1971.00,0.834500
1981.00,0.838560
1861.00,0.804300
2026.00,0.839400
2016.00,0.839280
1921.00,0.825440
1916.00,0.828160
1891.00,0.831520
1961.00,0.823860
1871.00,0.815620
1866.00,0.810300
1936.00,0.811720
1956.00,0.817040
1991.00,0.837800
1911.00,0.829860
1906.00,0.831060
1931.00,0.813960
1886.00,0.829440
2031.00,0.839380
