# Wavenumber,Transmittence
3556.00,0.877380
3651.00,0.874120
3591.00,0.876240
3581.00,0.876580
3646.00,0.874380
3611.00,0.875640
3596.00,0.876080
3521.00,0.877600
3566.00,0.877060
3701.00,0.872420
3666.00,0.873180
3631.00,0.875080
3526.00,0.877600
3601.00,0.875940
3691.00,0.871360
3696.00,0.872020
3511.00,0.877500
3641.00,0.874620
3536.00,0.877600
3541.00,0.877600
3516.00,0.877520
3546.00,0.877600
3621.00,0.875380
3501.00,0.877380
3561.00,0.877220
3636.00,0.874880
3661.00,0.873620
3671.00,0.872420
3506.00,0.877040
3681.00,0.871220
3551.00,0.877540
3686.00,0.871200
3531.00,0.877600
3626.00,0.875220
3586.00,0.876420
3711.00,0.872680
3576.00,0.876760
3616.00,0.875520
3676.00,0.871720
3706.00,0.872680
3656.00,0.873880
3571.00,0.876880
3606.00,0.875820
