# Wavenumber	Transmittence
2836.00	0.848840
2806.00	0.859720
2931.00	0.618560
2886.00	0.723160
2821.00	0.854140
2901.00	0.773500
2906.00	0.772900
2936.00	0.616840
2826.00	0.852380
2861.00	0.800440
2811.00	0.857840
2786.00	0.863280
2921.00	0.667880
2946.00	0.657160
2801.00	0.861400
2816.00	0.855980
2891.00	0.736900
2916.00	0.736060
2961.00	0.747520
2876.00	0.731160
2856.00	0.815980
2951.00	0.704520
2896.00	0.759360
2881.00	0.719880
2956.00	0.730640
2776.00	0.864300
2851.00	0.830880
2866.00	0.779600
2771.00	0.863740
2846.00	0.844520
2831.00	0.850580
2911.00	0.766940
2796.00	0.862420
2966.00	0.761280
2791.00	0.863020
2926.00	0.631860
2971.00	0.767580
2941.00	0.625220
2871.00	0.753680
2841.00	0.847700
2781.00	0.863780
