# Wavenumber Transmittence
3251.00 0.864640
3271.00 0.865040
3181.00 0.859980
3161.00 0.861680
3106.00 0.724060
3211.00 0.867260
3091.00 0.650380
3141.00 0.854080
3086.00 0.619060
3201.00 0.865420
3146.00 0.858100
3121.00 0.794920
3166.00 0.862160
3261.00 0.864440
3171.00 0.861680
3266.00 0.864760
3206.00 0.866740
3156.00 0.860760
3231.00 0.865220
3186.00 0.860840
3191.00 0.862280
3241.00 0.864880
3116.00 0.780180
3221.00 0.866340
3131.00 0.829940
3256.00 0.864520
3246.00 0.864760
3276.00 0.865380
3136.00 0.844460
3236.00 0.865020
3111.00 0.757980
3196.00 0.863800
3176.00 0.860460
3226.00 0.865800
3101.00 0.708440
3126.00 0.810080
3216.00 0.866900
3096.00 0.694640
3151.00 0.859680
