# Wavenumber Transmittence
2171.00 0.846720
2166.00 0.846120
2146.00 0.845120
2181.00 0.848120
2151.00 0.845320
2216.00 0.850520
2191.00 0.849200
2261.00 0.852400
2251.00 0.851820
2266.00 0.852900
2206.00 0.850260
2141.00 0.844840
2196.00 0.849700
2246.00 0.851580
2186.00 0.848800
2221.00 0.850640
2276.00 0.853800
2226.00 0.850760
2236.00 0.851080
2256.00 0.852060
2201.00 0.850120
2271.00 0.853340
2156.00 0.845580
2161.00 0.845820
2211.00 0.850380
2176.00 0.847380
2241.00 0.851320
2231.00 0.850880
