# Wavenumber Transmittence
1236.00 0.841860
1326.00 0.830860
1321.00 0.831400
1446.00 0.768760
1261.00 0.838880
1341.00 0.828900
1286.00 0.838200
1411.00 0.806640
1301.00 0.834980
1296.00 0.836400
1426.00 0.803460
1421.00 0.800380
1331.00 0.830300
1366.00 0.820360
1381.00 0.780600
1276.00 0.839120
1346.00 0.829080
1401.00 0.801980
1391.00 0.779980
1361.00 0.829300
1436.00 0.793200
1451.00 0.755840
1241.00 0.840460
1386.00 0.776800
1371.00 0.807380
1356.00 0.832000
1416.00 0.803920
1251.00 0.836920
1316.00 0.831900
1226.00 0.835920
1291.00 0.837660
1256.00 0.837260
1336.00 0.829600
1246.00 0.838500
1406.00 0.807340
1376.00 0.792380
1306.00 0.833740
1311.00 0.832580
1431.00 0.801500
1281.00 0.838640
1441.00 0.781460
1351.00 0.831080
1396.00 0.791060
1271.00 0.839580
1461.00 0.746500
1456.00 0.750020
1266.00 0.839540
1231.00 0.841020
