# Wavenumber	Transmittence
3396.00	0.872560
3531.00	0.877600
3496.00	0.877300
3461.00	0.876420
3471.00	0.876800
3521.00	0.877600
3466.00	0.876680
3446.00	0.875680
3406.00	0.873360
3426.00	0.874680
3436.00	0.875180
3621.00	0.875380
3416.00	0.874160
3606.00	0.875820
3386.00	0.871760
3591.00	0.876240
3486.00	0.877100
3616.00	0.875520
3611.00	0.875640
3451.00	0.875920
3596.00	0.876080
3536.00	0.877600
3501.00	0.877380
3381.00	0.871340
3491.00	0.877180
3586.00	0.876420
3541.00	0.877600
3481.00	0.876980
3516.00	0.877520
3566.00	0.877060
3476.00	0.876900
3511.00	0.877500
3401.00	0.872940
3571.00	0.876880
3431.00	0.874920
3411.00	0.873740
3601.00	0.875940
3556.00	0.877380
3581.00	0.876580
3546.00	0.877600
3551.00	0.877540
3506.00	0.877040
3421.00	0.874420
3441.00	0.875420
3526.00	0.877600
3576.00	0.876760
3391.00	0.872140
3561.00	0.877220
3626.00	0.875220
3456.00	0.876180
