# Wavenumber Transmittence
1161.00 0.843880
1186.00 0.837700
1146.00 0.847400
1096.00 0.814540
1071.00 0.783100
1111.00 0.832020
1191.00 0.840040
1131.00 0.850720
1136.00 0.849900
1121.00 0.846540
1061.00 0.800740
1066.00 0.792680
1156.00 0.844580
1106.00 0.831880
1101.00 0.826000
1126.00 0.850120
1151.00 0.845900
1176.00 0.835140
1086.00 0.794340
1076.00 0.782080
1116.00 0.838400
1081.00 0.794380
1196.00 0.840140
1141.00 0.848780
1166.00 0.842760
1091.00 0.801720
1171.00 0.839400
1181.00 0.834640
1201.00 0.839380
