# Wavenumber	Transmittence
3056.00	0.627860
3031.00	0.491300
2911.00	0.766940
2936.00	0.616840
2966.00	0.761280
2931.00	0.618560
3041.00	0.460360
2981.00	0.757460
2961.00	0.747520
3081.00	0.606960
2986.00	0.749740
2916.00	0.736060
2971.00	0.767580
3021.00	0.618980
3011.00	0.685480
2926.00	0.631860
3071.00	0.601700
2906.00	0.772900
3001.00	0.712100
2901.00	0.773500
3016.00	0.668520
3061.00	0.624440
3076.00	0.601020
3046.00	0.489560
2976.00	0.764380
3026.00	0.554680
2951.00	0.704520
2956.00	0.730640
3036.00	0.460880
3006.00	0.697520
2946.00	0.657160
2921.00	0.667880
2991.00	0.739980
2996.00	0.727660
3051.00	0.574200
3066.00	0.613380
2941.00	0.625220
