# Wavenumber	Transmittence
2676.00	0.863280
2541.00	0.859520
2596.00	0.857280
2536.00	0.859780
2451.00	0.857520
2576.00	0.857120
2616.00	0.860100
2496.00	0.858460
2456.00	0.857760
2491.00	0.858120
2631.00	0.862140
2486.00	0.857880
2681.00	0.863120
2636.00	0.862760
2571.00	0.857340
2591.00	0.857020
2501.00	0.858820
2586.00	0.856920
2641.00	0.862980
2666.00	0.863520
2561.00	0.858140
2476.00	0.857500
2546.00	0.859260
2481.00	0.857620
2626.00	0.861480
2521.00	0.859540
2581.00	0.857000
2556.00	0.858520
2601.00	0.857740
2526.00	0.859660
2531.00	0.859780
2671.00	0.863480
2461.00	0.857800
2656.00	0.863500
2621.00	0.860720
2511.00	0.859240
2506.00	0.859080
2516.00	0.859420
2611.00	0.859600
2646.00	0.863180
2651.00	0.863420
2566.00	0.857720
2686.00	0.862920
2471.00	0.857580
2606.00	0.858860
2661.00	0.863500
2551.00	0.858920
2466.00	0.857720
