# Wavenumber	Transmittence
2246.00	0.851580
2221.00	0.850640
2326.00	0.862600
2301.00	0.856740
2351.00	0.864360
2296.00	0.855520
2261.00	0.852400
2276.00	0.853800
2231.00	0.850880
2346.00	0.862460
2226.00	0.850760
2306.00	0.857420
2341.00	0.863040
2321.00	0.861100
2311.00	0.858520
2251.00	0.851820
2291.00	0.855440
2266.00	0.852900
2316.00	0.859780
2336.00	0.863880
2241.00	0.851320
2356.00	0.868480
2256.00	0.852060
2281.00	0.854300
2236.00	0.851080
2286.00	0.854820
2331.00	0.863720
2271.00	0.853340
