# Wavenumber Transmittence
1986.00 0.837880
1941.00 0.807640
2011.00 0.839080
1911.00 0.829860
1906.00 0.831060
1966.00 0.828340
1926.00 0.819500
2001.00 0.838620
2041.00 0.839060
2096.00 0.842280
2021.00 0.839400
2106.00 0.842860
1991.00 0.837800
1976.00 0.838940
2026.00 0.839400
1996.00 0.838120
1971.00 0.834500
2081.00 0.841420
1916.00 0.828160
2061.00 0.840420
2056.00 0.840080
1981.00 0.838560
2071.00 0.840920
2101.00 0.842520
1921.00 0.825440
1961.00 0.823860
1956.00 0.817040
2006.00 0.838880
2031.00 0.839380
2051.00 0.839740
2036.00 0.839220
2046.00 0.839360
2086.00 0.841680
2066.00 0.840680
2076.00 0.841180
1931.00 0.813960
1946.00 0.803140
2016.00 0.839280
1951.00 0.809120
1936.00 0.811720
2091.00 0.841940
