# Wavenumber	Transmittence
3001.00	0.712100
3031.00	0.491300
2971.00	0.767580
2896.00	0.759360
2941.00	0.625220
2976.00	0.764380
2936.00	0.616840
2981.00	0.757460
3016.00	0.668520
2956.00	0.730640
2911.00	0.766940
3036.00	0.460880
2931.00	0.618560
2961.00	0.747520
2966.00	0.761280
2881.00	0.719880
2996.00	0.727660
2916.00	0.736060
2991.00	0.739980
2891.00	0.736900
2886.00	0.723160
2946.00	0.657160
3021.00	0.618980
3011.00	0.685480
2921.00	0.667880
2901.00	0.773500
2906.00	0.772900
2951.00	0.704520
2986.00	0.749740
3041.00	0.460360
3026.00	0.554680
2926.00	0.631860
3006.00	0.697520
