# Wavenumber Transmittence
2741.00 0.849640
2701.00 0.861220
2731.00 0.852120
2691.00 0.862600
2666.00 0.863520
2616.00 0.860100
2596.00 0.857280
2661.00 0.863500
2656.00 0.863500
2636.00 0.862760
2706.00 0.860520
2601.00 0.857740
2671.00 0.863480
2606.00 0.858860
2626.00 0.861480
2771.00 0.863740
2716.00 0.858120
2631.00 0.862140
2756.00 0.854760
2676.00 0.863280
2761.00 0.858680
2766.00 0.861720
2711.00 0.859520
2586.00 0.856920
2646.00 0.863180
2751.00 0.851480
2726.00 0.854020
2621.00 0.860720
2611.00 0.859600
2736.00 0.850520
2696.00 0.861960
2591.00 0.857020
2681.00 0.863120
2746.00 0.849680
2721.00 0.856220
2641.00 0.862980
2651.00 0.863420
2686.00 0.862920
