# Wavenumber Transmittence
3346.00 0.869480
3276.00 0.865380
3386.00 0.871760
3356.00 0.869980
3396.00 0.872560
3401.00 0.872940
3311.00 0.867520
3381.00 0.871340
3421.00 0.874420
3351.00 0.869720
3306.00 0.867180
3286.00 0.865980
3411.00 0.873740
3321.00 0.868120
3326.00 0.868420
3376.00 0.870980
3406.00 0.873360
3416.00 0.874160
3296.00 0.866580
3391.00 0.872140
3301.00 0.866920
3431.00 0.874920
3341.00 0.869220
3361.00 0.870220
3371.00 0.870720
3426.00 0.874680
3366.00 0.870480
3271.00 0.865040
3331.00 0.868720
3316.00 0.867820
3281.00 0.865680
3336.00 0.868980
3291.00 0.866280
