# Wavenumber Transmittence
1076.00 0.782080
1176.00 0.835140
1141.00 0.848780
1116.00 0.838400
1011.00 0.841400
1061.00 0.800740
1201.00 0.839380
1086.00 0.794340
1191.00 0.840040
1066.00 0.792680
1121.00 0.846540
1211.00 0.834900
1056.00 0.806180
1101.00 0.826000
1081.00 0.794380
1111.00 0.832020
1001.00 0.845920
1006.00 0.843900
1206.00 0.837300
1216.00 0.833240
1181.00 0.834640
1041.00 0.799360
1071.00 0.783100
1106.00 0.831880
1016.00 0.837460
1226.00 0.835920
1196.00 0.840140
1021.00 0.828440
1026.00 0.808840
1036.00 0.794580
1046.00 0.807360
1161.00 0.843880
1096.00 0.814540
1151.00 0.845900
1146.00 0.847400
1091.00 0.801720
1221.00 0.833100
1156.00 0.844580
996.00 0.847280
1126.00 0.850120
1171.00 0.839400
1051.00 0.811160
1136.00 0.849900
1166.00 0.842760
1131.00 0.850720
1186.00 0.837700
1031.00 0.791240
