# Wavenumber Transmittence
1091.00 0.801720
1251.00 0.836920
1126.00 0.850120
1096.00 0.814540
1111.00 0.832020
1191.00 0.840040
1261.00 0.838880
1131.00 0.850720
1121.00 0.846540
1136.00 0.849900
1201.00 0.839380
1281.00 0.838640
1141.00 0.848780
1206.00 0.837300
1186.00 0.837700
1166.00 0.842760
1256.00 0.837260
1156.00 0.844580
1146.00 0.847400
1226.00 0.835920
1266.00 0.839540
1211.00 0.834900
1276.00 0.839120
1106.00 0.831880
1241.00 0.840460
1216.00 0.833240
1151.00 0.845900
1246.00 0.838500
1176.00 0.835140
1116.00 0.838400
1161.00 0.843880
1181.00 0.834640
1171.00 0.839400
1271.00 0.839580
1236.00 0.841860
1221.00 0.833100
1196.00 0.840140
1231.00 0.841020
1101.00 0.826000
