# Wavenumber,Transmittence
2826.00,0.852380
2941.00,0.625220
2896.00,0.759360
2936.00,0.616840
2801.00,0.861400
2866.00,0.779600
2781.00,0.863780
2841.00,0.847700
2956.00,0.730640
2766.00,0.861720
2846.00,0.844520
2951.00,0.704520
2911.00,0.766940
2861.00,0.800440
2791.00,0.863020
2946.00,0.657160
2916.00,0.736060
2986.00,0.749740
2961.00,0.747520
2981.00,0.757460
2776.00,0.864300
2966.00,0.761280
2876.00,0.731160
2971.00,0.767580
2836.00,0.848840
2931.00,0.618560
2821.00,0.854140
2771.00,0.863740
2921.00,0.667880
2811.00,0.857840
2856.00,0.815980
2881.00,0.719880
2816.00,0.855980
2796.00,0.862420
2851.00,0.830880
2786.00,0.863280
2831.00,0.850580
2976.00,0.764380
2886.00,0.723160
2871.00,0.753680
2906.00,0.772900
2926.00,0.631860
2806.00,0.859720
2901.00,0.773500
2891.00,0.736900
