# Wavenumber	Transmittence
2926.00	0.631860
3066.00	0.613380
3101.00	0.708440
2996.00	0.727660
3006.00	0.697520
2911.00	0.766940
2941.00	0.625220
3041.00	0.460360
3031.00	0.491300
2906.00	0.772900
3076.00	0.601020
2991.00	0.739980
3081.00	0.606960
2896.00	0.759360
2946.00	0.657160
3036.00	0.460880
3026.00	0.554680
2951.00	0.704520
2901.00	0.773500
2981.00	0.757460
3061.00	0.624440
2971.00	0.767580
2986.00	0.749740
2886.00	0.723160
3001.00	0.712100
3086.00	0.619060
2936.00	0.616840
3091.00	0.650380
3056.00	0.627860
2966.00	0.761280
3021.00	0.618980
3051.00	0.574200
2916.00	0.736060
2956.00	0.730640
2976.00	0.764380
2931.00	0.618560
3011.00	0.685480
2961.00	0.747520
2921.00	0.667880
3016.00	0.668520
3071.00	0.601700
3096.00	0.694640
2891.00	0.736900
3046.00	0.489560
