# Wavenumber,Transmittence
1806.00,0.811380
1866.00,0.810300
1816.00,0.821880
1881.00,0.823780
1911.00,0.829860
1886.00,0.829440
1856.00,0.809720
1836.00,0.825160
1936.00,0.811720
1921.00,0.825440
1941.00,0.807640
1951.00,0.809120
1871.00,0.815620
1916.00,0.828160
1826.00,0.828800
1931.00,0.813960
1876.00,0.818080
1906.00,0.831060
1811.00,0.815480
1841.00,0.821140
1966.00,0.828340
1891.00,0.831520
1831.00,0.827600
1821.00,0.827380
1861.00,0.804300
1846.00,0.816020
1896.00,0.832440
1851.00,0.815420
1926.00,0.819500
1956.00,0.817040
1961.00,0.823860
1901.00,0.831680
1946.00,0.803140
