# Wavenumber Transmittence
2361.00 0.869960
2391.00 0.856100
2411.00 0.856180
2421.00 0.856200
2251.00 0.851820
2341.00 0.863040
2311.00 0.858520
2291.00 0.855440
2286.00 0.854820
2231.00 0.850880
2296.00 0.855520
2256.00 0.852060
2226.00 0.850760
2316.00 0.859780
2371.00 0.865300
2306.00 0.857420
2276.00 0.853800
2246.00 0.851580
2326.00 0.862600
2386.00 0.857120
2266.00 0.852900
2271.00 0.853340
2336.00 0.863880
2351.00 0.864360
2396.00 0.855520
2301.00 0.856740
2426.00 0.856280
2241.00 0.851320
2261.00 0.852400
2321.00 0.861100
2366.00 0.868260
2406.00 0.855980
2416.00 0.856200
2236.00 0.851080
2281.00 0.854300
2381.00 0.858320
2346.00 0.862460
2376.00 0.861100
2331.00 0.863720
2401.00 0.855720
2356.00 0.868480
