# Wavenumber,Transmittence
1171.00,0.839400
1211.00,0.834900
1161.00,0.843880
1316.00,0.831900
1236.00,0.841860
1221.00,0.833100
1216.00,0.833240
1241.00,0.840460
1271.00,0.839580
1286.00,0.838200
1311.00,0.832580
1246.00,0.838500
1256.00,0.837260
1251.00,0.836920
1166.00,0.842760
1276.00,0.839120
1181.00,0.834640
1196.00,0.840140
1226.00,0.835920
1301.00,0.834980
1261.00,0.838880
1206.00,0.837300
1191.00,0.840040
1296.00,0.836400
1231.00,0.841020
1176.00,0.835140
1186.00,0.837700
1266.00,0.839540
1291.00,0.837660
1201.00,0.839380
1281.00,0.838640
1306.00,0.833740
