# Wavenumber Transmittence
3651.00 0.874120
3571.00 0.876880
3636.00 0.874880
3566.00 0.877060
3551.00 0.877540
3526.00 0.877600
3611.00 0.875640
3626.00 0.875220
3601.00 0.875940
3596.00 0.876080
3671.00 0.872420
3591.00 0.876240
3631.00 0.875080
3661.00 0.873620
3616.00 0.875520
3641.00 0.874620
3646.00 0.874380
3666.00 0.873180
3681.00 0.871220
3521.00 0.877600
3561.00 0.877220
3541.00 0.877600
3606.00 0.875820
3546.00 0.877600
3556.00 0.877380
3656.00 0.873880
3621.00 0.875380
3686.00 0.871200
3531.00 0.877600
3581.00 0.876580
3586.00 0.876420
3576.00 0.876760
3676.00 0.871720
3536.00 0.877600
