# Wavenumber Transmittence
2151.00 0.845320
2191.00 0.849200
2246.00 0.851580
2136.00 0.844580
2116.00 0.843460
2121.00 0.843720
2251.00 0.851820
2206.00 0.850260
2141.00 0.844840
2161.00 0.845820
2131.00 0.844320
2231.00 0.850880
2241.00 0.851320
2261.00 0.852400
2216.00 0.850520
2166.00 0.846120
2236.00 0.851080
2221.00 0.850640
2181.00 0.848120
2171.00 0.846720
2211.00 0.850380
2226.00 0.850760
2266.00 0.852900
2146.00 0.845120
2156.00 0.845580
2201.00 0.850120
2186.00 0.848800
2176.00 0.847380
2256.00 0.852060
2126.00 0.844020
2196.00 0.849700
