# Wavenumber	Transmittence
2286.00	0.854820
2436.00	0.856880
2331.00	0.863720
2311.00	0.858520
2376.00	0.861100
2371.00	0.865300
2416.00	0.856200
2361.00	0.869960
2391.00	0.856100
2356.00	0.868480
2411.00	0.856180
2291.00	0.855440
2381.00	0.858320
2321.00	0.861100
2271.00	0.853340
2421.00	0.856200
2431.00	0.856580
2441.00	0.857120
2461.00	0.857800
2281.00	0.854300
2341.00	0.863040
2466.00	0.857720
2396.00	0.855520
2401.00	0.855720
2351.00	0.864360
2346.00	0.862460
2386.00	0.857120
2426.00	0.856280
2306.00	0.857420
2336.00	0.863880
2366.00	0.868260
2301.00	0.856740
2326.00	0.862600
2406.00	0.855980
2296.00	0.855520
2276.00	0.853800
2456.00	0.857760
2451.00	0.857520
2446.00	0.857320
2266.00	0.852900
2316.00	0.859780
