# Wavenumber	Transmittence
2201.00	0.850120
2226.00	0.850760
2321.00	0.861100
2366.00	0.868260
2251.00	0.851820
2296.00	0.855520
2221.00	0.850640
2266.00	0.852900
2216.00	0.850520
2361.00	0.869960
2186.00	0.848800
2316.00	0.859780
2181.00	0.848120
2281.00	0.854300
2211.00	0.850380
2341.00	0.863040
2306.00	0.857420
2311.00	0.858520
2276.00	0.853800
2351.00	0.864360
2261.00	0.852400
2241.00	0.851320
2231.00	0.850880
2336.00	0.863880
2326.00	0.862600
2271.00	0.853340
2356.00	0.868480
2331.00	0.863720
2301.00	0.856740
2291.00	0.855440
2346.00	0.862460
2256.00	0.852060
2246.00	0.851580
2286.00	0.854820
2236.00	0.851080
2191.00	0.849200
2206.00	0.850260
2196.00	0.849700
