# Wavenumber,Transmittence
813.13,0.985000
733.44,1.009000
827.19,0.985800
691.25,1.008000
808.44,0.984800
738.13,1.007400
855.31,0.912600
705.31,1.013000
695.94,1.009600
761.56,1.005000
799.06,0.985000
681.88,1.007200
785.00,0.991400
710.00,1.013200
841.25,0.978400
803.75,0.984000
677.19,0.999400
789.69,0.988600
794.38,0.986800
770.94,1.000800
724.06,1.020200
836.56,0.981400
756.88,1.006200
719.38,1.015000
780.31,0.993800
742.81,1.007000
728.75,1.012800
700.63,1.012200
686.56,1.008000
822.50,0.986000
747.50,1.007400
714.69,1.013400
766.25,1.004000
817.81,0.985400
752.19,1.006200
831.88,0.984400
775.63,0.998000
850.63,0.945800
845.94,0.969200
