# Wavenumber	Transmittence
1164.69	0.956600
1028.75	0.398780
1066.25	0.164540
1160.00	0.959000
1099.06	0.542800
1155.31	0.957800
1085.00	0.309360
1117.81	0.795200
1089.69	0.411380
1061.56	0.179820
1103.75	0.583980
1056.88	0.178140
1038.13	0.258000
1108.44	0.648400
1019.38	0.527000
1080.31	0.247600
1131.88	0.907800
1113.13	0.734100
1052.19	0.179400
1145.94	0.947000
1033.44	0.325820
1127.19	0.885400
1042.81	0.209600
1024.06	0.448440
1122.50	0.856800
1141.25	0.935800
1150.63	0.954200
1136.56	0.923000
1070.94	0.197000
1169.38	0.952800
1075.63	0.193800
1094.38	0.507800
1047.50	0.188600
