# Wavenumber,Transmittence
2899.06,0.321880
2885.00,0.370500
2936.56,0.362940
3049.06,0.960120
2992.81,0.270540
3067.81,0.988880
2927.19,0.370000
2988.13,0.241720
3035.00,0.841600
2964.69,0.272920
2960.00,0.283840
3011.56,0.484880
2875.63,0.428260
2894.38,0.336200
2950.63,0.329060
2913.13,0.353220
2870.94,0.464620
3002.19,0.353180
3063.13,0.985880
2931.88,0.368600
2983.44,0.246100
3039.69,0.901400
3058.44,0.982220
2997.50,0.315940
2941.25,0.359600
2889.69,0.347080
3030.31,0.787900
3072.50,0.991060
3020.94,0.633360
2903.75,0.298280
2945.94,0.347700
2866.25,0.513540
3044.38,0.937260
2856.88,0.631340
2922.50,0.368180
2969.38,0.250020
2917.81,0.361480
2880.31,0.393660
3006.88,0.410360
3016.25,0.571840
3025.63,0.724220
3053.75,0.973600
2908.44,0.323160
2955.31,0.301820
2861.56,0.562760
2978.75,0.246240
2974.06,0.244240
