# Wavenumber Transmittence
1005.31 0.705800
953.75 0.992200
860.00 0.862200
855.31 0.912600
1024.06 0.448440
939.69 0.990000
845.94 0.969200
892.81 0.761400
972.50 0.972000
944.38 0.992800
888.13 0.772040
1014.69 0.555600
902.19 0.798200
869.38 0.796200
1019.38 0.527000
883.44 0.777200
911.56 0.903400
836.56 0.981400
822.50 0.986000
958.44 0.989600
995.94 0.841800
1000.63 0.772680
827.19 0.985800
967.81 0.980800
935.00 0.986200
977.19 0.960000
991.25 0.883600
1010.00 0.633680
930.31 0.983400
897.50 0.777400
874.06 0.803000
981.88 0.941400
864.69 0.821200
986.56 0.917200
925.63 0.976000
916.25 0.938800
949.06 0.994000
963.13 0.986800
906.88 0.846960
878.75 0.773480
850.63 0.945800
831.88 0.984400
920.94 0.963400
841.25 0.978400
