# Wavenumber	Transmittence
710.00	1.013200
813.13	0.985000
681.88	1.007200
789.69	0.988600
794.38	0.986800
780.31	0.993800
799.06	0.985000
752.19	1.006200
785.00	0.991400
770.94	1.000800
728.75	1.012800
672.50	1.002000
742.81	1.007000
667.81	1.011400
756.88	1.006200
747.50	1.007400
700.63	1.012200
714.69	1.013400
686.56	1.008000
677.19	0.999400
719.38	1.015000
695.94	1.009600
775.63	0.998000
705.31	1.013000
733.44	1.009000
724.06	1.020200
766.25	1.004000
817.81	0.985400
761.56	1.005000
691.25	1.008000
803.75	0.984000
808.44	0.984800
738.13	1.007400
