# Wavenumber	Transmittence
1441.25	0.818000
1450.63	0.784220
1474.06	0.872400
1445.94	0.816800
1417.81	0.667580
1511.56	0.957600
1488.13	0.905200
1549.06	0.993200
1535.00	0.985200
1422.50	0.752380
1558.44	0.990200
1483.44	0.894200
1506.88	0.946000
1427.19	0.792000
1431.88	0.807800
1464.69	0.867600
1530.31	0.982800
1455.31	0.813000
1460.00	0.858400
1544.38	0.990400
1520.94	0.970800
1492.81	0.915400
1516.25	0.964800
1502.19	0.938200
1469.38	0.871200
1553.75	0.990400
1525.63	0.977800
1539.69	0.987800
1436.56	0.813600
1497.50	0.930400
1478.75	0.877800
